Index,Category,Count of ACs,Percent Change of ACs Over 2022,Change in Count of ACs Over 2022,Classification
1,First Year ,693,3.6,26,Undergrad
2,Transfer,640,3.6,22,Undergrad
3,Law,206,28,28,Grad
4,Business,174,-9.4,-18,Grad
5,Graduate School,348,42,103,Grad
6,Nursing,70,4.5,3,Grad
